state,class,candidate,party,incumbent,win_probability,voteshare,p10_voteshare,p90_voteshare,race_type,district,won
FL,NA,Donna Shalala,D,false,0.8521,52.33,47.32,57.3,house,27,TRUE
GA,NA,Buddy Carter,R,true,0.999,62.47,58.01,66.97,house,1,TRUE
GA,NA,Sanford D. Bishop Jr.,D,true,0.9999,66.13,61.56,70.69,house,2,TRUE
GA,NA,A. Drew Ferguson,R,true,1,68.04,63.65,72.47,house,3,TRUE
GA,NA,Hank Johnson,D,true,1,72.82,68.31,77.33,house,4,TRUE
GA,NA,John Lewis,D,true,1,100,100,100,house,5,TRUE
GA,NA,Karen C. Handel,R,true,0.5943,50.71,46.73,54.75,house,6,FALSE
GA,NA,Rob Woodall,R,true,0.8481,53.14,49.21,57.02,house,7,NA
GA,NA,Austin Scott,R,true,1,100,100,100,house,8,TRUE
GA,NA,Doug Collins,R,true,1,79.54,75.08,84.01,house,9,TRUE
GA,NA,Jody Hice,R,true,1,67.82,63.46,72.2,house,10,TRUE
GA,NA,Barry Loudermilk,R,true,0.9999,66.84,62.29,71.38,house,11,TRUE
GA,NA,Rick Allen,R,true,0.9923,59.72,54.93,64.44,house,12,TRUE
GA,NA,David Scott,D,true,1,75.42,71,79.79,house,13,TRUE
GA,NA,Tom Graves,R,true,1,80.14,75.82,84.39,house,14,TRUE
HI,NA,Ed Case,D,false,1,68.88,63.27,74.4,house,1,TRUE
HI,NA,Tulsi Gabbard,D,true,1,79.41,74.71,84.1,house,2,TRUE
IA,NA,Abby Finkenauer,D,false,0.9403,53.53,49.3,57.69,house,1,TRUE
IA,NA,David Loebsack,D,true,0.995,57.51,53.24,61.71,house,2,TRUE
IA,NA,Cindy Axne,D,false,0.6989,49.51,45.43,53.54,house,3,TRUE
IA,NA,Steve King,R,true,0.8858,51.7,47.81,55.58,house,4,TRUE
ID,NA,Russ Fulcher,R,false,0.9967,57.94,51.53,64.34,house,1,TRUE
ID,NA,Mike Simpson,R,true,0.9994,63.79,59.1,68.51,house,2,TRUE
IL,NA,Bobby L. Rush,D,true,1,76.62,72.04,81.22,house,1,TRUE
IL,NA,Robin Kelly,D,true,1,82.24,77.92,86.6,house,2,TRUE
IL,NA,Daniel Lipinski,D,true,0.9999,68.66,64.06,73.16,house,3,TRUE
IL,NA,"Jesus ""Chuy"" Garcia",D,false,1,85.67,81.35,90.01,house,4,TRUE
IL,NA,Mike Quigley,D,true,1,75.56,70.87,80.25,house,5,TRUE
IL,NA,Sean Casten,D,false,0.6202,50.99,46.81,55.12,house,6,TRUE
IL,NA,Danny K. Davis,D,true,1,87.52,83.7,91.33,house,7,TRUE
IL,NA,Raja Krishnamoorthi,D,true,0.9999,67.74,62.92,72.52,house,8,TRUE
IL,NA,Jan Schakowsky,D,true,1,73.45,68.77,78.09,house,9,TRUE
IL,NA,Bradley Schneider,D,true,0.9999,66.97,62.24,71.63,house,10,TRUE
IL,NA,Bill Foster,D,true,0.9999,67.75,63.15,72.42,house,11,TRUE
IL,NA,Mike Bost,R,true,0.755,50.71,46.33,55.08,house,12,TRUE
IL,NA,Rodney Davis,R,true,0.7739,52.23,48.35,56.15,house,13,TRUE
IL,NA,Lauren Underwood,D,false,0.6926,51.44,47.71,55.14,house,14,TRUE
IL,NA,John Shimkus,R,true,0.9999,69.64,64.8,74.49,house,15,TRUE
IL,NA,Adam Kinzinger,R,true,0.9958,58.98,55.03,62.97,house,16,TRUE
IL,NA,Cheri Bustos,D,true,0.9999,65.3,60.81,69.74,house,17,TRUE
IL,NA,Darin LaHood,R,true,0.9999,67.35,62.88,71.83,house,18,TRUE
IN,NA,Peter Visclosky,D,true,1,69.61,65.13,74.16,house,1,TRUE
IN,NA,Jackie Walorski,R,true,0.9575,56.51,51.77,61.25,house,2,TRUE
IN,NA,Jim Banks,R,true,0.9985,61.27,57.01,65.57,house,3,TRUE
IN,NA,Jim Baird,R,false,0.999,62.52,58,67.08,house,4,TRUE
IN,NA,Susan W. Brooks,R,true,0.9887,57.94,53.76,62.14,house,5,TRUE
IN,NA,Greg Pence,R,false,0.9997,63.2,58.29,68.09,house,6,TRUE
IN,NA,André Carson,D,true,1,69.33,64.84,73.83,house,7,NA
IN,NA,Larry Bucshon,R,true,0.9978,61.35,56.73,66.01,house,8,TRUE
IN,NA,Trey Hollingsworth,R,true,0.9487,55.17,51.18,59.15,house,9,TRUE
KS,NA,Roger Marshall,R,true,0.9994,64.22,59.5,68.91,house,1,TRUE
KS,NA,Paul Davis,D,false,0.6407,48.9,44.72,52.97,house,2,FALSE
