score_away,score_home,team_away,team_home,win_prob_away,win_prob_home
126,108,Rockets,Timberwolves,52,48
114,109,Kings,Mavericks,24,76
109,117,Spurs,Nuggets,29,71
118,103,Pelicans,Pistons,51,49
92,108,Knicks,76ers,16,84
114,101,Clippers,Nets,64,36
101,105,Magic,Bulls,36,64
99,101,Spurs,Jazz,31,69
83,129,Suns,Warriors,6,94
123,103,Raptors,Hornets,60,40
121,99,Cavaliers,Celtics,28,72
115,118,Pistons,Hawks,50,50
113,121,Knicks,Pacers,25,75
97,104,Mavericks,Rockets,8,92
92,110,Grizzlies,Thunder,15,85
106,111,Kings,Timberwolves,10,90
115,96,Jazz,Trail Blazers,42,58
138,128,Pelicans,Nets,50,50
98,112,Clippers,76ers,37,63
111,104,Bucks,Magic,49,51
101,90,Wizards,Bulls,62,38
123,130,Lakers,Mavericks,42,58
105,122,Spurs,Warriors,23,77
123,113,Nuggets,Suns,58,42
108,95,Clippers,Pistons,43,57
82,100,Pelicans,76ers,31,69
123,107,Cavaliers,Hawks,62,38
97,91,Pacers,Celtics,31,69
104,130,Nuggets,Rockets,16,84
85,91,Bucks,Heat,44,56
94,106,Hornets,Jazz,19,81
113,114,Timberwolves,Bulls,67,33
118,100,Trail Blazers,Kings,58,42
98,100,Hawks,Magic,33,67
88,113,Knicks,Raptors,13,87
110,104,Celtics,Wizards,43,57
103,109,Hornets,Trail Blazers,35,65
103,121,Mavericks,Warriors,12,88
81,106,Thunder,Lakers,62,38
106,115,Nets,Pistons,19,81
109,101,Rockets,Heat,60,40
138,140,Timberwolves,Cavaliers,58,42
92,88,Jazz,Grizzlies,70,30
129,81,Spurs,Suns,72,28
98,116,Cavaliers,Magic,63,37
91,111,Celtics,Raptors,29,71
123,113,Rockets,Nets,79,21
82,108,Grizzlies,Hawks,43,57
103,89,Bucks,Knicks,50,50
102,115,Wizards,76ers,32,68
125,105,Thunder,Warriors,23,77
93,112,Suns,Lakers,26,74
91,111,Trail Blazers,Pistons,41,59
111,102,Wizards,Pacers,38,62
111,109,Magic,Heat,22,78
133,109,Jazz,Pelicans,41,59
104,121,Hornets,Nuggets,25,75
98,104,Bulls,Kings,45,55
101,104,Mavericks,Clippers,23,77
99,96,Hawks,Knicks,24,76
86,101,Grizzlies,Raptors,12,88
109,94,Bucks,Nets,55,45
96,97,Trail Blazers,Celtics,31,69
108,104,Lakers,Thunder,15,85
115,110,Hornets,Suns,59,41
103,113,Bulls,Clippers,20,80
107,111,Heat,Pistons,36,64
92,100,76ers,Pacers,41,59
115,98,Wizards,Magic,57,43
120,88,Rockets,Cavaliers,56,44
108,115,Warriors,Nuggets,52,48
107,118,Pelicans,Timberwolves,23,77
120,111,Jazz,Spurs,27,73
106,99,Mavericks,Kings,54,46
126,133,Pacers,Hornets,37,63
110,119,Hawks,Celtics,12,88
102,99,Lakers,Nets,38,62
105,130,Trail Blazers,Raptors,31,69
97,103,Heat,76ers,33,67
90,92,Knicks,Bucks,34,66
114,100,Pelicans,Thunder,28,72
129,97,Jazz,Suns,59,41
119,104,Warriors,Kings,83,17
102,104,Grizzlies,Pistons,25,75
119,122,Raptors,Wizards,55,45
102,91,Rockets,Spurs,50,50
89,108,Bucks,Timberwolves,27,73
124,127,Thunder,Nuggets,47,53
105,127,Lakers,Magic,53,47
101,105,Grizzlies,Pacers,24,76
123,110,Hornets,Hawks,56,44
89,91,Heat,Cavaliers,39,61
108,116,76ers,Nets,67,33
