href,id,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
https://api.spotify.com/v1/artists/339DNkQkuhHKEcHw6oK8f0,339DNkQkuhHKEcHw6oK8f0,Happy Mondays,53,artist,spotify:artist:339DNkQkuhHKEcHw6oK8f0,https://open.spotify.com/artist/339DNkQkuhHKEcHw6oK8f0,NA,241935
https://api.spotify.com/v1/artists/3xYNGCooNIzKMAtJYKSOyq,3xYNGCooNIzKMAtJYKSOyq,Electronic,45,artist,spotify:artist:3xYNGCooNIzKMAtJYKSOyq,https://open.spotify.com/artist/3xYNGCooNIzKMAtJYKSOyq,NA,83779
https://api.spotify.com/v1/artists/66GWpx9iLxrvvfhDsG9STP,66GWpx9iLxrvvfhDsG9STP,Inspiral Carpets,46,artist,spotify:artist:66GWpx9iLxrvvfhDsG9STP,https://open.spotify.com/artist/66GWpx9iLxrvvfhDsG9STP,NA,84590
https://api.spotify.com/v1/artists/14H7ag1wpQOsPPQJOD6Dqr,14H7ag1wpQOsPPQJOD6Dqr,Zero 7,62,artist,spotify:artist:14H7ag1wpQOsPPQJOD6Dqr,https://open.spotify.com/artist/14H7ag1wpQOsPPQJOD6Dqr,NA,345247
https://api.spotify.com/v1/artists/39ywlwtGw8RTGobakgb11L,39ywlwtGw8RTGobakgb11L,Kruder & Dorfmeister,44,artist,spotify:artist:39ywlwtGw8RTGobakgb11L,https://open.spotify.com/artist/39ywlwtGw8RTGobakgb11L,NA,105820
https://api.spotify.com/v1/artists/4tNxq9NGKTKaX8OkZBLgf0,4tNxq9NGKTKaX8OkZBLgf0,Nightmares On Wax,60,artist,spotify:artist:4tNxq9NGKTKaX8OkZBLgf0,https://open.spotify.com/artist/4tNxq9NGKTKaX8OkZBLgf0,NA,286144
https://api.spotify.com/v1/artists/25KNo5GDS6ZpLkjasaecA3,25KNo5GDS6ZpLkjasaecA3,Thievery Corporation,64,artist,spotify:artist:25KNo5GDS6ZpLkjasaecA3,https://open.spotify.com/artist/25KNo5GDS6ZpLkjasaecA3,NA,521754
https://api.spotify.com/v1/artists/5ZMwoAjeDtLJ0XRwRTgaK8,5ZMwoAjeDtLJ0XRwRTgaK8,Quantic,60,artist,spotify:artist:5ZMwoAjeDtLJ0XRwRTgaK8,https://open.spotify.com/artist/5ZMwoAjeDtLJ0XRwRTgaK8,NA,208279
https://api.spotify.com/v1/artists/1P6U1dCeHxPui5pIrGmndZ,1P6U1dCeHxPui5pIrGmndZ,Air,64,artist,spotify:artist:1P6U1dCeHxPui5pIrGmndZ,https://open.spotify.com/artist/1P6U1dCeHxPui5pIrGmndZ,NA,585602
https://api.spotify.com/v1/artists/484sZUYmnRXN84zmk3GY1n,484sZUYmnRXN84zmk3GY1n,St Germain,56,artist,spotify:artist:484sZUYmnRXN84zmk3GY1n,https://open.spotify.com/artist/484sZUYmnRXN84zmk3GY1n,NA,175496
https://api.spotify.com/v1/artists/1O3ZOjqFLEnbpZexcRjocn,1O3ZOjqFLEnbpZexcRjocn,RJD2,57,artist,spotify:artist:1O3ZOjqFLEnbpZexcRjocn,https://open.spotify.com/artist/1O3ZOjqFLEnbpZexcRjocn,NA,287267
https://api.spotify.com/v1/artists/3qwxSif06Qwzykdln8ZGfG,3qwxSif06Qwzykdln8ZGfG,Wax Tailor,54,artist,spotify:artist:3qwxSif06Qwzykdln8ZGfG,https://open.spotify.com/artist/3qwxSif06Qwzykdln8ZGfG,NA,203565
https://api.spotify.com/v1/artists/5CE2IfdYZEQGIDsfiRm8SI,5CE2IfdYZEQGIDsfiRm8SI,DJ Shadow,64,artist,spotify:artist:5CE2IfdYZEQGIDsfiRm8SI,https://open.spotify.com/artist/5CE2IfdYZEQGIDsfiRm8SI,NA,382575
https://api.spotify.com/v1/artists/3cbU0WxlZJTFLTfXEUB433,3cbU0WxlZJTFLTfXEUB433,Little People,48,artist,spotify:artist:3cbU0WxlZJTFLTfXEUB433,https://open.spotify.com/artist/3cbU0WxlZJTFLTfXEUB433,NA,86172
https://api.spotify.com/v1/artists/6HCnsY0Rxi3cg53xreoAIm,6HCnsY0Rxi3cg53xreoAIm,Emancipator,64,artist,spotify:artist:6HCnsY0Rxi3cg53xreoAIm,https://open.spotify.com/artist/6HCnsY0Rxi3cg53xreoAIm,NA,287595
https://api.spotify.com/v1/artists/0cmWgDlu9CwTgxPhf403hb,0cmWgDlu9CwTgxPhf403hb,Bonobo,68,artist,spotify:artist:0cmWgDlu9CwTgxPhf403hb,https://open.spotify.com/artist/0cmWgDlu9CwTgxPhf403hb,NA,1002340
