Date,Name,Year,Letterboxd URI,Rating
2020-11-20,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk,4.5
2020-11-21,Mangrove,2020,https://boxd.it/qEAa,3.5
2020-11-22,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,4
2020-11-22,The Young Girls of Rochefort,1967,https://boxd.it/26K8,3
2020-11-23,Breathless,1960,https://boxd.it/2aIK,3.5
2020-11-23,Before Sunrise,1995,https://boxd.it/2bcU,5
2020-11-24,Before Sunset,2004,https://boxd.it/2bcg,5
2020-11-26,Before Midnight,2013,https://boxd.it/4ive,4.5
2020-11-26,Se7en,1995,https://boxd.it/29zs,3.5
2020-11-26,Children of Men,2006,https://boxd.it/1Y2i,5
2020-11-27,Fast Color,2018,https://boxd.it/g3wg,2
2020-12-06,Ash Is Purest White,2018,https://boxd.it/fH5C,2.5
2020-12-06,When Harry Met Sally...,1989,https://boxd.it/29W2,4.5
2020-12-07,Mulan,2020,https://boxd.it/bbK6,1.5
2020-12-13,Enter the Dragon,1973,https://boxd.it/1YCA,3
2020-12-13,Toy Story,1995,https://boxd.it/29qA,4.5
2020-12-18,Tenet,2020,https://boxd.it/leq4,2.5
2020-12-20,Klaus,2019,https://boxd.it/ipoi,3.5
2020-12-28,Toy Story 2,1999,https://boxd.it/29qq,3.5
2020-12-29,Toy Story 3,2010,https://boxd.it/1WRe,4
2020-12-29,Wonder Woman 1984,2020,https://boxd.it/gBtA,0.5
2020-12-29,Fist of Fury,1972,https://boxd.it/1TaG,2.5
2020-12-29,Arrival,2016,https://boxd.it/aNGk,5
2021-01-02,Spider-Man: Homecoming,2017,https://boxd.it/aboM,2
2021-02-14,Judas and the Black Messiah,2021,https://boxd.it/lsew,3.5
2021-02-15,District 9,2009,https://boxd.it/1Iik,3.5
2021-02-16,Training Day,2001,https://boxd.it/27A4,4
2021-02-17,Paths of Glory,1957,https://boxd.it/29b6,3.5
2021-02-17,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2021-02-20,Singin' in the Rain,1952,https://boxd.it/29oY,4.5
2021-02-21,Lincoln,2012,https://boxd.it/2n2s,2.5
2021-02-22,Brave,2012,https://boxd.it/bVG,2.5
2021-02-22,It's Always Fair Weather,1955,https://boxd.it/1Ikq,3.5
2021-02-26,Zootopia,2016,https://boxd.it/84xS,3.5
2021-03-01,Coco,2017,https://boxd.it/bYJQ,4
2021-03-05,"The Good, The Bad, The Weird",2008,https://boxd.it/1MSG,2.5
2021-03-07,Minari,2020,https://boxd.it/mL9M,3.5
2021-03-07,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2021-03-07,Nomadland,2020,https://boxd.it/lnRy,3
2021-03-08,Okja,2017,https://boxd.it/dvXe,4.5
2021-03-08,Barking Dogs Never Bite,2000,https://boxd.it/1BLa,3
2021-03-09,Vice,2018,https://boxd.it/fcFY,1.5
2021-03-09,Tom & Jerry,2021,https://boxd.it/lCXG,0.5
2021-03-09,Predestination,2014,https://boxd.it/6bJM,3.5
2021-03-09,Zero Dark Thirty,2012,https://boxd.it/3n1w,3.5
2021-03-09,The Matrix,1999,https://boxd.it/2a1m,4
2021-03-10,The Shape of Water,2017,https://boxd.it/dZ5m,2.5
2021-03-10,Phantom Thread,2017,https://boxd.it/e4uc,4.5
2021-03-11,Marriage Story,2019,https://boxd.it/hJAw,4
2021-03-14,Gattaca,1997,https://boxd.it/29Du,3
2021-03-14,First Reformed,2017,https://boxd.it/go9C,5
2021-03-15,Wild Strawberries,1957,https://boxd.it/29ZU,3
2021-03-15,Train to Busan,2016,https://boxd.it/dSQU,3.5
2021-03-16,Lion,2016,https://boxd.it/b2La,2.5
2021-03-16,Sucker Punch,2011,https://boxd.it/1yYg,0.5
2021-03-17,Promising Young Woman,2020,https://boxd.it/loRE,4.5
2021-03-18,Reservoir Dogs,1992,https://boxd.it/2agc,3
2021-03-18,The King,2019,https://boxd.it/ieZs,2.5
2021-03-18,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm,2.5
2021-03-18,Stalker,1979,https://boxd.it/28PO,3
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,1
2021-03-20,Ad Astra,2019,https://boxd.it/ePzI,3
2021-03-20,Mank,2020,https://boxd.it/mIuC,1.5
2021-03-21,Moon,2009,https://boxd.it/1IGQ,2
2021-03-26,Mission: Impossible,1996,https://boxd.it/29d2,3
2021-03-26,Edge of Tomorrow,2014,https://boxd.it/4pD0,3.5
2021-03-27,The Father,2020,https://boxd.it/m8Ie,4.5
2021-03-28,A Taxi Driver,2017,https://boxd.it/fwac,3
2021-03-29,Speed,1994,https://boxd.it/28qk,3
2021-04-04,Alex Wheatle,2020,https://boxd.it/sff6,2.5
2021-04-05,The Man from Nowhere,2010,https://boxd.it/AZy,2.5
2021-04-05,Werner Herzog Eats His Shoe,1980,https://boxd.it/3pcw,1.5
2021-04-07,Shoplifters,2018,https://boxd.it/ifY6,4
2021-04-11,Burning,2018,https://boxd.it/hHUa,4
2021-04-13,Poetry,2010,https://boxd.it/JAs,4
2021-04-13,Lovers Rock,2020,https://boxd.it/qEAk,3
2021-04-13,The Ides of March,2011,https://boxd.it/1WyG,2.5
2021-04-13,Yi Yi,2000,https://boxd.it/1vCw,3.5
2021-04-18,Iron Monkey,1993,https://boxd.it/1Rfk,2
2021-04-18,John Wick,2014,https://boxd.it/7dEc,4
2021-04-18,John Wick: Chapter 2,2017,https://boxd.it/ayGu,4
2021-04-18,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/gmFw,4.5
2021-04-20,One Night in Miami...,2020,https://boxd.it/oCUo,3
2021-04-21,The Florida Project,2017,https://boxd.it/dMG0,5
2021-04-22,Charm City Kings,2020,https://boxd.it/kbUS,2
2021-04-22,Nobody,2021,https://boxd.it/mLqS,3
2021-04-23,The Age of Innocence,1993,https://boxd.it/1WgM,2
2021-04-24,Mortal Kombat,2021,https://boxd.it/gswA,1
2021-04-24,Gangs of New York,2002,https://boxd.it/25FG,2.5
2021-04-25,The Social Network,2010,https://boxd.it/17ue,4.5
2021-04-25,Zodiac,2007,https://boxd.it/27MO,4.5
2021-04-25,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,3.5
2021-04-25,The Imitation Game,2014,https://boxd.it/6aig,3.5
2021-04-27,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,3
2021-04-28,The Last of the Mohicans,1992,https://boxd.it/1YSo,1.5
2021-04-28,The Insider,1999,https://boxd.it/1ZoE,4
2021-04-30,The Great Indian Kitchen,2021,https://boxd.it/tyqO,2.5
2021-04-30,Paddington 2,2017,https://boxd.it/bCF8,3
2021-05-02,Ran,1985,https://boxd.it/1Tlu,3.5
2021-05-02,Shutter Island,2010,https://boxd.it/1U82,1
2021-05-02,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,2.5
2021-05-03,Headshot,2016,https://boxd.it/ebLk,3
2021-05-04,My Left Foot: The Story of Christy Brown,1989,https://boxd.it/1WW4,4
2021-05-07,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,1.5
2021-05-10,The Maltese Falcon,1941,https://boxd.it/29c4,3
2021-05-10,Citizen Kane,1941,https://boxd.it/71O,4
2021-05-10,The Hidden Fortress,1958,https://boxd.it/295M,3.5
2021-05-10,In the Name of the Father,1993,https://boxd.it/20I6,4
2021-05-11,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2021-05-12,THX 1138,1971,https://boxd.it/29Ww,3
2021-05-12,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,4
2021-05-13,Ocean's Eleven,1960,https://boxd.it/2aEo,2
2021-05-18,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,3.5
2021-05-18,Jodorowsky's Dune,2013,https://boxd.it/5MP6,1.5
2021-05-28,Another Round,2020,https://boxd.it/lkba,4
2021-05-30,The Great Dictator,1940,https://boxd.it/29ic,3.5
2021-05-31,Little Shop of Horrors,1986,https://boxd.it/1Vqm,2
2021-05-31,Taxi Driver,1976,https://boxd.it/2b8y,5
2021-06-01,On the Waterfront,1954,https://boxd.it/29TC,4
2021-06-01,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,4.5
2021-06-03,The Godfather: Part III,1990,https://boxd.it/2aN6,2.5
2021-06-05,Raya and the Last Dragon,2021,https://boxd.it/jbkI,3
2021-06-06,Casablanca,1942,https://boxd.it/2aG0,4
2021-06-06,The Apartment,1960,https://boxd.it/2aGE,5
2021-06-06,The French Connection,1971,https://boxd.it/296g,2.5
2021-06-07,Terms of Endearment,1983,https://boxd.it/1ULo,2
2021-06-19,Luca,2021,https://boxd.it/ipjC,3
2021-06-30,The Big Lebowski,1998,https://boxd.it/2b6C,4
2021-07-05,The Tomorrow War,2021,https://boxd.it/lE78,3
2021-07-05,Ex Machina,2014,https://boxd.it/7T2k,3
2021-07-05,If Beale Street Could Talk,2018,https://boxd.it/gGhu,3.5
2021-07-05,Sound of Metal,2019,https://boxd.it/i7Q4,3.5
2021-07-05,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2021-07-06,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,1.5
2021-07-06,In the Heights,2021,https://boxd.it/gLhu,1.5
2021-07-08,Alien,1979,https://boxd.it/2awY,4
2021-07-08,What Happened Was...,1994,https://boxd.it/2WAk,3.5
2021-07-11,Vertigo,1958,https://boxd.it/2apI,2
2021-07-13,Aliens,1986,https://boxd.it/29PA,4
2021-07-18,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,1
2021-07-18,Gunpowder Milkshake,2021,https://boxd.it/l5fQ,2.5
2021-07-19,The Warriors,1979,https://boxd.it/1TLC,1
2021-07-19,Sympathy for Lady Vengeance,2005,https://boxd.it/248G,3
2021-07-21,About Time,2013,https://boxd.it/43bI,2.5
2021-07-22,My Beautiful Laundrette,1985,https://boxd.it/1UhI,1.5
2021-07-23,Romeo + Juliet,1996,https://boxd.it/2ama,3
2021-07-23,The Lego Star Wars Holiday Special,2020,https://boxd.it/rtpC,2
2021-07-24,Dune,1984,https://boxd.it/29tY,1.5
2021-07-25,Guess Who's Coming to Dinner,1967,https://boxd.it/27Xi,4
2021-07-27,The Lobster,2015,https://boxd.it/7tnw,3.5
2021-07-29,The Squid and the Whale,2005,https://boxd.it/1VAG,3.5
2021-07-30,Solaris,1972,https://boxd.it/2a2Y,3
