n,ctl,t0,lift,power
5e3,0.2,0.3,0.04,0.633
1e4,0.2,0.3,0.04,0.923
15e3,0.2,0.3,0.04,0.99
2e4,0.2,0.3,0.04,0.998
5e3,0.25,0.3,0.04,0.736
1e4,0.25,0.3,0.04,0.944
15e3,0.25,0.3,0.04,0.998
2e4,0.25,0.3,0.04,0.997
5e3,0.30000000000000004,0.3,0.04,0.783
1e4,0.30000000000000004,0.3,0.04,0.97
15e3,0.30000000000000004,0.3,0.04,0.998
2e4,0.30000000000000004,0.3,0.04,1
5e3,0.35,0.3,0.04,0.834
1e4,0.35,0.3,0.04,0.982
15e3,0.35,0.3,0.04,0.996
2e4,0.35,0.3,0.04,1
5e3,0.4,0.3,0.04,0.836
1e4,0.4,0.3,0.04,0.984
15e3,0.4,0.3,0.04,1
2e4,0.4,0.3,0.04,0.999
5e3,0.45000000000000007,0.3,0.04,0.864
1e4,0.45000000000000007,0.3,0.04,0.989
15e3,0.45000000000000007,0.3,0.04,0.998
2e4,0.45000000000000007,0.3,0.04,1
5e3,0.5,0.3,0.04,0.863
1e4,0.5,0.3,0.04,0.994
15e3,0.5,0.3,0.04,0.999
2e4,0.5,0.3,0.04,1
5e3,0.1,0.5,0.04,0.409
1e4,0.1,0.5,0.04,0.682
15e3,0.1,0.5,0.04,0.826
2e4,0.1,0.5,0.04,0.935
5e3,0.15000000000000002,0.5,0.04,0.525
1e4,0.15000000000000002,0.5,0.04,0.815
15e3,0.15000000000000002,0.5,0.04,0.943
2e4,0.15000000000000002,0.5,0.04,0.98
5e3,0.2,0.5,0.04,0.62
1e4,0.2,0.5,0.04,0.874
15e3,0.2,0.5,0.04,0.974
2e4,0.2,0.5,0.04,0.996
5e3,0.25,0.5,0.04,0.681
1e4,0.25,0.5,0.04,0.936
15e3,0.25,0.5,0.04,0.988
2e4,0.25,0.5,0.04,0.999
5e3,0.30000000000000004,0.5,0.04,0.745
1e4,0.30000000000000004,0.5,0.04,0.942
15e3,0.30000000000000004,0.5,0.04,0.992
2e4,0.30000000000000004,0.5,0.04,1
5e3,0.35,0.5,0.04,0.768
1e4,0.35,0.5,0.04,0.962
15e3,0.35,0.5,0.04,0.997
2e4,0.35,0.5,0.04,0.999
5e3,0.4,0.5,0.04,0.793
1e4,0.4,0.5,0.04,0.977
15e3,0.4,0.5,0.04,0.999
2e4,0.4,0.5,0.04,1
5e3,0.45000000000000007,0.5,0.04,0.793
1e4,0.45000000000000007,0.5,0.04,0.978
15e3,0.45000000000000007,0.5,0.04,0.999
2e4,0.45000000000000007,0.5,0.04,0.999
5e3,0.5,0.5,0.04,0.83
1e4,0.5,0.5,0.04,0.975
15e3,0.5,0.5,0.04,0.998
2e4,0.5,0.5,0.04,1
5e3,0.1,0.7,0.04,0.493
1e4,0.1,0.7,0.04,0.758
15e3,0.1,0.7,0.04,0.908
2e4,0.1,0.7,0.04,0.965
5e3,0.15000000000000002,0.7,0.04,0.617
1e4,0.15000000000000002,0.7,0.04,0.896
15e3,0.15000000000000002,0.7,0.04,0.967
2e4,0.15000000000000002,0.7,0.04,0.995
5e3,0.2,0.7,0.04,0.741
1e4,0.2,0.7,0.04,0.951
15e3,0.2,0.7,0.04,0.992
2e4,0.2,0.7,0.04,1
5e3,0.25,0.7,0.04,0.784
1e4,0.25,0.7,0.04,0.971
15e3,0.25,0.7,0.04,0.996
2e4,0.25,0.7,0.04,0.999
5e3,0.30000000000000004,0.7,0.04,0.856
1e4,0.30000000000000004,0.7,0.04,0.988
15e3,0.30000000000000004,0.7,0.04,0.999
2e4,0.30000000000000004,0.7,0.04,1
5e3,0.35,0.7,0.04,0.833
1e4,0.35,0.7,0.04,0.989
15e3,0.35,0.7,0.04,0.999
2e4,0.35,0.7,0.04,1
5e3,0.4,0.7,0.04,0.871
1e4,0.4,0.7,0.04,0.993
15e3,0.4,0.7,0.04,1
2e4,0.4,0.7,0.04,1
5e3,0.45000000000000007,0.7,0.04,0.884
1e4,0.45000000000000007,0.7,0.04,0.992
15e3,0.45000000000000007,0.7,0.04,1
2e4,0.45000000000000007,0.7,0.04,1
5e3,0.5,0.7,0.04,0.879
1e4,0.5,0.7,0.04,0.995
15e3,0.5,0.7,0.04,1
2e4,0.5,0.7,0.04,1
5e3,0.1,0.3,0.05,0.596
1e4,0.1,0.3,0.05,0.892
15e3,0.1,0.3,0.05,0.98
2e4,0.1,0.3,0.05,0.997
5e3,0.15000000000000002,0.3,0.05,0.774
1e4,0.15000000000000002,0.3,0.05,0.965
15e3,0.15000000000000002,0.3,0.05,1
2e4,0.15000000000000002,0.3,0.05,1
5e3,0.2,0.3,0.05,0.849
1e4,0.2,0.3,0.05,0.992
15e3,0.2,0.3,0.05,0.999
2e4,0.2,0.3,0.05,1
5e3,0.25,0.3,0.05,0.887
1e4,0.25,0.3,0.05,0.995
15e3,0.25,0.3,0.05,1
2e4,0.25,0.3,0.05,1
5e3,0.30000000000000004,0.3,0.05,0.941
1e4,0.30000000000000004,0.3,0.05,0.999
15e3,0.30000000000000004,0.3,0.05,1
2e4,0.30000000000000004,0.3,0.05,1
5e3,0.35,0.3,0.05,0.957
1e4,0.35,0.3,0.05,1
15e3,0.35,0.3,0.05,1
2e4,0.35,0.3,0.05,1
5e3,0.4,0.3,0.05,0.958
1e4,0.4,0.3,0.05,0.999
15e3,0.4,0.3,0.05,1
2e4,0.4,0.3,0.05,1
5e3,0.45000000000000007,0.3,0.05,0.959
1e4,0.45000000000000007,0.3,0.05,0.999
15e3,0.45000000000000007,0.3,0.05,1
2e4,0.45000000000000007,0.3,0.05,1
5e3,0.5,0.3,0.05,0.957
1e4,0.5,0.3,0.05,1
15e3,0.5,0.3,0.05,1
2e4,0.5,0.3,0.05,1
5e3,0.1,0.5,0.05,0.564
1e4,0.1,0.5,0.05,0.852
15e3,0.1,0.5,0.05,0.966
2e4,0.1,0.5,0.05,0.989
5e3,0.15000000000000002,0.5,0.05,0.704
1e4,0.15000000000000002,0.5,0.05,0.949
15e3,0.15000000000000002,0.5,0.05,0.99
2e4,0.15000000000000002,0.5,0.05,0.997
5e3,0.2,0.5,0.05,0.822
1e4,0.2,0.5,0.05,0.983
15e3,0.2,0.5,0.05,0.996
2e4,0.2,0.5,0.05,1
5e3,0.25,0.5,0.05,0.894
1e4,0.25,0.5,0.05,0.99
15e3,0.25,0.5,0.05,0.999
2e4,0.25,0.5,0.05,1
5e3,0.30000000000000004,0.5,0.05,0.899
1e4,0.30000000000000004,0.5,0.05,0.996
15e3,0.30000000000000004,0.5,0.05,1
2e4,0.30000000000000004,0.5,0.05,1
5e3,0.35,0.5,0.05,0.909
1e4,0.35,0.5,0.05,0.998
15e3,0.35,0.5,0.05,1
2e4,0.35,0.5,0.05,1
5e3,0.4,0.5,0.05,0.943
1e4,0.4,0.5,0.05,0.996
15e3,0.4,0.5,0.05,1
2e4,0.4,0.5,0.05,1
5e3,0.45000000000000007,0.5,0.05,0.933
1e4,0.45000000000000007,0.5,0.05,0.999
15e3,0.45000000000000007,0.5,0.05,1
2e4,0.45000000000000007,0.5,0.05,1
5e3,0.5,0.5,0.05,0.926
1e4,0.5,0.5,0.05,0.997
15e3,0.5,0.5,0.05,1
2e4,0.5,0.5,0.05,1
5e3,0.1,0.7,0.05,0.691
1e4,0.1,0.7,0.05,0.928
15e3,0.1,0.7,0.05,0.986
2e4,0.1,0.7,0.05,0.997
5e3,0.15000000000000002,0.7,0.05,0.843
1e4,0.15000000000000002,0.7,0.05,0.981
15e3,0.15000000000000002,0.7,0.05,0.997
2e4,0.15000000000000002,0.7,0.05,1
5e3,0.2,0.7,0.05,0.886
1e4,0.2,0.7,0.05,0.995
15e3,0.2,0.7,0.05,1
2e4,0.2,0.7,0.05,1
5e3,0.25,0.7,0.05,0.927
1e4,0.25,0.7,0.05,0.998
15e3,0.25,0.7,0.05,1
2e4,0.25,0.7,0.05,1
5e3,0.30000000000000004,0.7,0.05,0.958
1e4,0.30000000000000004,0.7,0.05,0.998
