year,pace
2002,89.7
2002,91.9
2002,90.1
2002,91.4
2002,90.2
2002,88.8
2002,88.3
2002,87.4
2002,90.3
2002,89.7
2002,88.2
2002,91.9
2002,94.5
2002,90.4
2002,91.1
2002,90.5
2003,92.5
2003,95.4
2003,90
2003,91.6
2003,86.8
2003,89.4
2003,91.6
2003,89.3
2003,92.5
2003,91.9
2003,88.8
2003,91.4
2003,91.5
2003,89.4
2003,88
2003,90.4
2003,93.1
2003,94.2
2003,90.9
2003,88.2
2003,90.7
2003,92.7
2003,91.3
2003,91
2003,87.8
2003,93.5
2003,89.9
2003,91
2003,94
2004,89.2
2004,89
2004,92.8
2004,87.9
2004,87.5
2004,93.2
2004,92.3
2004,91.4
2004,87.8
2004,89.4
2004,93.3
2004,91.6
2004,89.9
2004,89.8
2004,88
2004,86.6
2004,86.2
2004,89.1
2004,89.5
2004,93.2
2004,92.6
2004,88
2004,90.8
2004,86.8
2004,91
2004,90.8
2004,92.2
2004,92.2
2004,90.8
2005,88.9
2005,95.9
2005,92.7
2005,90.8
2005,88.8
2005,87.2
2005,88.5
2005,87.9
2005,93
2005,93.5
2005,89.1
2005,92.4
2005,87.2
2005,93.3
2005,89.7
2005,89.1
2005,93.3
2005,94.9
2005,93.3
2005,92.7
2005,89.1
2005,90.8
2005,94.7
2005,90.7
2005,90.8
2005,89.8
2005,88.4
2005,92.3
2005,87.6
2005,91.4
2006,88.5
2006,86.8
2006,87.8
2006,95.8
2006,86.3
2006,91.6
2006,90.9
2006,89.8
2006,91.7
2006,89.7
2006,91.9
2006,92.3
2006,89.8
2006,92.9
2006,93.9
2006,91.2
2006,93.3
2006,88.3
2006,88
2006,92.2
2006,88.8
2006,92.7
2006,87.8
2006,89
2006,91.6
2006,91.1
2006,93.4
2006,90.4
2006,90.8
2006,87.6
2007,89.8
2007,89.5
2007,95.6
2007,90.7
2007,93.6
2007,87.3
2007,90.8
2007,91.6
2007,97.4
2007,92.6
2007,89.9
2007,93.5
2007,99.2
2007,90.8
2007,94.1
2007,91.4
2007,90.2
2007,89.9
2007,94.8
2007,91.8
2007,92.4
2007,90.8
2007,91
2007,90.7
2007,92
2007,88.3
2007,92
2007,92.3
2007,93.6
2007,90
2008,90.9
2008,95.6
2008,93.2
2008,87.3
2008,89.9
2008,96.7
2008,88.8
2008,90.4
2008,93.4
2008,90.2
2008,99.7
2008,90.2
2008,98.8
2008,90.4
2008,87.9
2008,90.2
2008,89.5
2008,94.7
2008,97.7
2008,91.1
2008,93
2008,91.8
2008,91.5
2008,95.3
2008,91.9
2008,91.6
2008,92.1
2008,91.3
2008,96.3
2008,90.2
2009,88.7
2009,90.4
2009,94.3
2009,92.3
2009,86.6
2009,90.2
2009,88.4
2009,94.3
2009,93.1
2009,89.6
2009,91.5
2009,96
2009,87.8
2009,89.9
2009,90
2009,93.1
2009,86.7
2009,96.5
2009,92.6
2009,88.3
2009,89.9
2009,96.7
2009,92
2009,98.2
2009,91.6
2009,90.1
2009,93.6
2009,91
2009,92.1
2009,94.2
2010,92
2010,91.4
2010,93.8
2010,91.7
2010,92.8
2010,95.3
2010,90.1
2010,94.8
2010,93.1
2010,91.6
2010,87.7
2010,92.5
2010,89.6
2010,91.7
2010,90.4
2010,94
2010,93.6
2010,93.1
2010,93.1
2010,92.6
2010,97.1
2010,100.4
2010,91.6
2010,94
2010,94
2010,91.6
2010,88.5
2010,92.6
2010,91.4
2010,96.1
