"","x"
"2066",-0.0482579062825383
"2067",-0.0463088931519452
"2068",-0.0494799803666522
"2069",-0.0508366094809623
"2070",-0.052776868700818
"2071",-0.0553898374834679
"2072",-0.0509901877402619
"2073",-0.0389323111926269
"2074",-0.0513326533200563
"2075",-0.0411749258389878
"2076",-0.0468289351037066
"2077",-0.046293654257531
"2078",-0.0428444870525983
"2079",-0.0394021020588211
"2080",-0.0430283444931381
"2081",-0.0459493495904442
"2082",-0.0517901250545349
"2083",-0.0549115785084568
"2084",-0.0541533214202429
"2085",-0.0459743322115455
"2086",-0.0544749841743785
"2087",-0.0473625241121423
"2088",-0.0431553439200904
"2089",-0.0504568390025346
"2090",-0.0553052080050698
"2091",-0.0577171413335092
"2092",-0.0548028000303833
"2093",-0.0405957564536329
"2094",-0.044048380910111
"2095",-0.0619083659640053
"2096",-0.0632070447968816
"2097",-0.0425652388132471
"2098",-0.0585218322976316
"2099",-0.0521644446578163
"2100",-0.0583194566200419
"2101",-0.0575478730949216
"2102",-0.0466403342902566
"2103",-0.0590133531375878
"2104",-0.0511513761227862
"2105",-0.0499239230846889
"2106",-0.0639149228201959
"2107",-0.0417304307452394
"2108",-0.043200357577584
"2109",-0.0546516946172894
"2110",-0.0634633719648203
"2111",-0.0658056849252583
"2112",-0.0429603840169313
"2113",-0.0600196413014598
"2114",-0.0548168071031879
"2115",-0.0442302161256713
"2116",-0.0468533087564135
"2117",-0.0651842702685955
"2118",-0.0583380839264907
"2119",-0.0557881284206941
"2120",-0.0451009330360535
"2121",-0.0446428858192878
"2122",-0.0478895349750449
"2123",-0.0556717246678872
"2124",-0.0560118080414135
"2125",-0.0553416239618976
"2126",-0.0441618217528559
"2127",-0.0630404438532279
"2128",-0.0584761961965449
"2129",-0.0486723811058785
"2130",-0.0508967744348216
"2131",-0.0556736310906565
"2132",-0.0482410094286832
"2133",-0.0525526440400815
"2134",-0.0482563936445374
"2135",-0.0457326464144132
"2136",-0.0480917751477458
"2137",-0.0440270978950191
"2138",-0.0394894615094485
"2139",-0.0548530790602494
"2140",-0.0535330146497038
"2141",-0.0506969100776394
"2142",-0.048948634745876
"2143",-0.0431815429268094
"2144",-0.0442341054876886
"2145",-0.0571186341407304
"2146",-0.0506264410163913
"2147",-0.0425521797691845
"2148",-0.0512677106402039
"2149",-0.0552156134995265
"2150",-0.0541912591309853
"2151",-0.0364209399738145
"2152",-0.0445205113448916
"2153",-0.0374268830442185
"2154",-0.0435446575486919
"2155",-0.0509738383064205
"2156",-0.0496038578777192
"2157",-0.0458517040424557
"2158",-0.0451347610873817
"2159",-0.0428130126902211
"2160",-0.0362504761878243
"2161",-0.0374884719795448
"2162",-0.0520401185157889
"2163",-0.0488547342312264
"2164",-0.0425426601963626
"2165",-0.0507068251056942
"2166",-0.0500027210746195
"2167",-0.0535678690095297
"2168",-0.0535265677951544
"2169",-0.0476738523123527
"2170",-0.0442644356198733
"2171",-0.0559398557501403
"2172",-0.0625510300106202
"2173",-0.0519817347796602
"2174",-0.0523795998354578
"2175",-0.0497790081502535
"2176",-0.0509351977874371
"2177",-0.0558485700854464
"2178",-0.0493470029500699
"2179",-0.0536545882881756
"2180",-0.0472444872933928
"2181",-0.0540762066745156
"2182",-0.0509220505663076
"2183",-0.0470665738992953
"2184",-0.0482020744510514
"2185",-0.046888394581627
"2186",-0.0535410097123289
"2187",-0.0532729342487379
"2188",-0.0541443765166826
"2189",-0.0576710169075794
"2190",-0.0642210938968144
"2191",-0.0661230985314243
"2192",-0.0393796606115322
"2193",-0.0540522419546697
"2194",-0.0560580153818356
"2195",-0.0533897223861027
"2196",-0.0563985676104601
"2197",-0.0389342603954101
"2198",-0.0361757699117686
"2199",-0.055865987521267
"2200",-0.0516500515153069
"2201",-0.0438104784789783
"2202",-0.0430126719067272
"2203",-0.0401105844911186
"2204",-0.0507858580150808
"2205",-0.0412489193900501
"2206",-0.0434692615251078
"2207",-0.0564345739571298
"2208",-0.0526615126023811
"2209",-0.0478026349970101
"2210",-0.0527645518952353
"2211",-0.0443028593168157
"2212",-0.041993274495577
"2213",-0.0399984844838154
"2214",-0.0485969880566379
"2215",-0.0557044865411555
"2216",-0.0438986484353797
"2217",-0.0455465871458354
"2218",-0.0534804719911306
"2219",-0.0517309320276241
"2220",-0.0442066516522258
"2221",-0.0511951716482659
"2222",-0.0537673540077354
"2223",-0.0542247540808622
"2224",-0.0621401751810398
"2225",-0.0599307876823305
"2226",-0.0566563815305612
"2227",-0.0552377959663496
"2228",-0.0420687928676099
"2229",-0.0419004330719513
"2230",-0.0471750278188544
"2231",-0.0532626282560342
"2232",-0.0479528680211222
"2233",-0.0399666779710053
"2234",-0.0521462268651441
"2235",-0.0400622965447779
